id_interno;numero_proyecto;extracto;Fecha;Año;Estado;Proyecto;Expediente Electrónico;TEXTO ORIGINAL;Autores
3403;Proyecto N° 482;DECLARESE DE INTERES PARLAMENTARIO LA TRAYECTORIA DE DON PASCUAL LUIS PERERA, EN BENEFICIO DEL GOBIERNO, LA CULTURA Y EL SABER DE NUESTRA PROVINCIA.;2019-08-30;2019;ARCHIVADO;Declaración;;;
3404;Proyecto N° 483;DECLARASE DE INTERES PARLAMENTARIO LOS 10 AÑOS DE TRAYECTORIA DE LA FOTOGRAFA Y PRODUCTORA AUDIOVISUAL ANA CAROLINA CABRERA.;2019-09-02;2019;ARCHIVADO;Declaración;;;
3405;Proyecto N° 484;PRIORIDAD A FAVOR DE CATAMARCA MINERA Y ENERGETICA SOCIEDAD DEL ESTADO (CAMYEN S.E.) EN LA INSCRIPCION DE LA TITULARIDAD DE YACIMIENTO MINEROS CUYA CONCESION FUERAN DECLARADA CADUCAS.;2019-09-02;2019;ARCHIVADO;Ley Provincial;;;
3406;Proyecto N° 485;ADHIERASE LA PROVINCIA DE CATAMARCA A LA LEY NACIONAL N° 27.517, POR LA CUAL SE INSTITUYE EL 18 DE FEBRERO DE CADA AÑO COMO EL DIA NACIONAL DEL SINDROME DE ASPERGER;2019-09-02;2019;ARCHIVADO;Ley Provincial;;;
3407;Proyecto N° 486;DECLARAR DE INTERES EDUCATIVO Y CULTURAL, LA IMPORTANCIA DE LA ALIMENTACION EQUILIBRADA EN ZONAS SERRANAS DEL DEPARTAMENTO DE SANTA MARIA, COMO ASI TAMBIEN LA IMPLEMENTACION EN TODA LA PROVINCIA DE CATAMARCA.;2019-09-02;2019;ARCHIVADO;Declaración;;;
3408;Proyecto N° 487;DECLARESE DE INTERES PARLAMENTARIO EL PROPUESTA DENOMINADA PROYECTO DESDEMONA Y LA PRESENTACION DEL PANEL OTELO: REALIDAD SOCIAL SHAKESPEAREANA EN CATAMARCA.;2019-09-03;2019;ARCHIVADO;Declaración;;;
3409;Proyecto N° 488;DECLARASE DE INTERES PARLAMENTARIO LAS VI JORNADAS DE LETRAS, LA LENGUA Y LA LITERATURA DEL NOA: TRADICIONES, RUPTURAS Y PROYECCIONES.;2019-09-03;2019;ARCHIVADO;Declaración;;;
3410;Proyecto N° 489;INSTITUYESE EL 17 DE NOVIEMBRE DE CADA AÑO, COMO DIA PROVINCIAL DE LA LUCHA Y RESISTENCIA POPULAR, EN TODO EL AMBITO TERRITORIAL DE LA PROVINCIA DE CATAMARCA, EN CONMEMORACION DEL MOVIMIENTO POPULAR DENOMINADO EL CATAMARCAZO.;2019-09-03;2019;ARCHIVADO;Ley Provincial;;;
3411;Proyecto N° 490;DECLARESE DE INTERES PARLAMENTARIO A LA BANDA GRUPO ALTERNATIVA DADO SUS AÑOS DE TRAYECTORIA Y REPRESENTACION QUE LE DA A LA PROVINCIA.;2019-09-03;2019;ARCHIVADO;Declaración;;;
3412;Proyecto N° 491;DECLARAR DE INTERES LEGISLATIVO, SOCIAL Y CULTURAL LA REALIZACION DE LOS ACTOS CONMEMORATIVOS DEL DIA INTERNACIONAL DE LA MUJER INDIGENA;2019-09-03;2019;ARCHIVADO;Declaración;;;
3413;Proyecto N° 492;CREASE EN LA PROVINCIA DE CATAMARCA, EL ORSMA (ORGANO DE REVISION DE SALUD MENTAL Y ADICCIONES), EN EL MARCO DE LO DISPUESTO POR LA LEY PROVINCIAL 5.383 QUE ADHIERE A LA LEY NACIONAL 26.657 DE SALUD MENTAL.;2019-09-03;2019;ARCHIVADO;Ley Provincial;;;
3414;Proyecto N° 493;SOLICITASE A LOS LEGISLADORES QUE REPRESENTAN A LA PROVINCIA DE CATAMARCA EN LA CAMARA DE DIPUTADOS DEL CONGRESO DE LA NACION GESTIONAR EL TRATAMIENTO: DEL PROYECTO DE LEY N° 0866 D 2018 SOBRE LA LUCHA  CONTRA LA ENFERMEDAD DE FIBROSIS QUISTICA Y EL PROYECTO DE LEY N° 3737 D 2018 SOBRE REGIMEN DE PROTECCION Y CONCIENTIZACION SOBRE LA PERSONA CON FIBROSIS QUISTICAS.;2019-09-03;2019;ARCHIVADO;Resolución;;;
3415;Proyecto N° 495;DECLARASE DE INTERES PARLAMENTARIO LA CELEBRACION DEL CENTENARIO DEL CLUB SPORTIVO MAMERTO ESQUIU, DE LA LOCALIDAD DE SAUJIL, DEPARTAMENTO POMAN, A CUMPLIRSE EL DIA 27 DE SEPTIEMBRE DE 2019.;2019-09-03;2019;ARCHIVADO;Declaración;;;
3416;Proyecto N° 496;DECLARESE DE INTERES PARLAMENTARIO, CULTURAL Y DEPORTIVO A LA LABOR QUE DESDE HACE DECADAS VIENE DESEMPEÑANDO RODOLFO DAMIAN BIDABEHERE EN LA DISCIPLINA DEPORTIVA KARATE, EN SU FUNCION DE SENSEI (MAESTRO).;2019-09-03;2019;ARCHIVADO;Declaración;;;
3417;Proyecto N° 497;INSTITUYASE EN EL AMBITO DEL MINISTERIO DE EDUCACION DE LA PROVINCIA DE CATAMARCA, EL LEGAJO UNICO DE INFRAESTRUCTURA ESCOLAR.;2019-09-03;2019;ARCHIVADO;Ley Provincial;;;
3418;Proyecto N° 498;SOLICITAR AL P. E. P., QUE A TRAVES DEL MINISTERIO DE SALUD, SE REALICE UN INFORME DETALLADO SOBRE EL CUAL SE PONGA DE MANIFIESTO LA SITUACION DEL PAGO CORRESPONDIENTE A MEDICOS Y ENFERMEROS EN ACTIVIDADES RELACIONADAS CON LA DERIVACION DE PACIENTES, LA CUAL SE ENCUENTRA EN SUSPENSO DESDE EL MES DE MARZO,  EN LA SITUACION PARTICULAR DEL DEPARTAMENTO SANTA MARIA.;2019-09-04;2019;ARCHIVADO;Resolución;;;
3419;Proyecto N° 499;DECLARASE AREA NATURAL PROTEGIDA TODO EL TERRITORIO COMPUESTO POR LA CUENCA HIDROGRAFICA DE LOS RIOS LOS PATOS Y AGUAS CALIENTES EN EL DEPARTAMENTO ANTOFAGASTA DE LA SIERRA.;2019-09-04;2019;ARCHIVADO;Ley Provincial;;;
3420;Proyecto N° 501;DECLARAR DE INTERES PARLAMENTARIO AL 5° TORNEO NACIONAL DE COCINA UTHGRA Y DE LA EDUCACION PARA EL TRABAJO.;2019-09-04;2019;ARCHIVADO;Declaración;;;
3421;Proyecto N° 502;MODIFICAR EL ARTICULO 3° DE LA LEY PROVINCIAL N° 5.191, CREASE EL INSTITUTO PROVINCIAL DE LUCHA CONTRA EL ALCOHOLISMO (IPLA).;2019-09-04;2019;ARCHIVADO;Ley Provincial;;;
3422;Proyecto N° 503;DECLARASE DE INTERES PARLAMENTARIO AL ANIVERSARIO POR LOS 150 AÑOS DE LA CREACION DE LA PARROQUIA NUESTRA SEÑORA DE LA CANDELARIA EN LA LOCALIDAD DE SAUJIL,  DEPARTAMENTO POMAN   PROVINCIA DE CATAMARCA.;2019-09-05;2019;ARCHIVADO;Declaración;;;
3423;Proyecto N° 504;DECLARASE LA MAS PROFUNDA PREOCUPACION POR EL FALTANTE DE REACTIVOS Y MEDICAMENTOS PARA LA DETENCION Y TRATAMIENTO DEL VIRUS DE HIV.;2019-09-06;2019;ARCHIVADO;Declaración;;;
3424;Proyecto N° 505;DECLARASE DE INTERES PARLAMENTARIO LAS XVII JORNADAS INTERESCUELAS/DEPARTAMENTOS DE HISTORIA.;2019-09-06;2019;ARCHIVADO;Declaración;;;
3425;Proyecto N° 506;SOLICITAR AL SEÑOR MINISTRO DE SALUD DE LA PROVINCIA DE CATAMARCA INFORME SOBRE LAS AMBULANCIAS QUE FIGURAN COMO PARTE DEL PARQUE AUTOMOTOR Y QUE CORRESPONDAN AL DEPARTAMENTO FRAY MAMERTO ESQUIU.;2019-09-06;2019;ARCHIVADO;Resolución;;;
3426;Proyecto N° 507;DECLARASE DE INTERES PARLAMENTARIO AL XI ENCUENTRO REGIONAL DE TEATRO DEL NOA CATAMARCA 2019.;2019-09-09;2019;ARCHIVADO;Declaración;;;
